Field,Value
"Parliament House Annexe, New Dethi -",110001
leno,160192
Month,6
Year,Note
State Name,Karnataka
Constituency Name,lions
Salary,50000
Arrears(All),0
Office Expenses Allowances,15000
Constituency Allowances,45000
Total Dues,110000
Estate Office (Licence,Fee-1)
Net Amount Payable,109500
